City/town,"Population 
  (2010 
  Census)","Population 
  Rank"
Marion,"4,909",251
Paxton,"4,860",252
North Brookfield,"4,682",253
Oak Bluffs,"4,642",254
Hubbardston,"4,426",255
Boylston,"4,393",256
Avon,"4,386",257
West Newbury,"4,367",258
Edgartown,"4,209",259
Sherborn,"4,199",260
Tisbury,"4,067",261
West Brookfield,"3,731",262
Sunderland,"3,699",263
Brimfield,"3,660",264
Essex,"3,584",265
Nahant,"3,442",266
Princeton,"3,436",267
Brookfield,"3,403",268
Dunstable,"3,303",269
Hatfield,"3,275",270
Sheffield,"3,233",271
Cheshire,"3,219",272
Millville,"3,198",273
Ashby,"3,140",274
Lanesborough,"3,057",275
Northfield,"3,034",276
Hardwick,"2,995",277
Provincetown,"2,968",278
Berlin,"2,902",279
Plympton,"2,840",280
West Tisbury,"2,828",281
Wellfleet,"2,742",282
Holland,"2,487",283
Williamsburg,"2,476",284
East Brookfield,"2,186",285
Huntington,"2,172",286
Bernardston,"2,134",287
Hinsdale,"2,010",288
Truro,"2,009",289
Stockbridge,"1,961",290
Oakham,"1,913",291
Conway,"1,904",292
Buckland,"1,902",293
Shelburne,"1,898",294
Leverett,"1,867",295
Wales,"1,864",296
Erving,"1,802",297
Russell,"1,788",298
Becket,"1,778",299
Shutesbury,"1,777",300
Ashfield,"1,739",301
Phillipston,"1,693",302
Clarksburg,"1,689",303
Colrain,"1,673",304
Granville,"1,605",305
Westhampton,"1,603",306
Otis,"1,599",307
Whately,"1,506",308
Gill,"1,502",309
New Marlborough,"1,498",310
Richmond,"1,459",311
Chester,"1,351",312
Pelham,"1,321",313
West Stockbridge,"1,295",314
Charlemont,"1,263",315
Royalston,"1,263",316
Blandford,"1,240",317
Petersham,"1,239",318
Chesterfield,"1,235",319
Egremont,"1,225",320
Worthington,"1,164",321
Goshen,"1,056",322
New Braintree,"1,018",323
New Salem,"1,002",324
Monterey,955,325
Sandisfield,919,326
Windsor,902,327
Chilmark,900,328
Cummington,870,329
Wendell,866,330
Montgomery,858,331
Peru,852,332
Warwick,779,333
Florida,749,334
Leyden,722,335
Hancock,716,336
Heath,706,337
Savoy,688,338
Plainfield,646,339
Washington,535,340
Middlefield,527,341
Alford,492,342
Tolland,487,343
Rowe,394,344
Hawley,337,345
Tyringham,324,346
Aquinnah,319,347
New Ashford,227,348
Mount Washington,166,349
Monroe,121,350
Gosnold,76,351
,,
